cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
69,69,70,5,63,3,3,5,2,52,10,3,397.791894,343.127288,1.159313,12104.155003,90397.608228,131298.363181,483.720795,482.021118,6.410095,4.710419,0.016114
70,70,85,34,69,3,3,6,2,51,12,3,3079.410298,2719.136362,1.132496,15183.565302,109591.55535,130900.571287,477.310699,460.558044,16.770813,0.018158,0.005446
70,70,85,34,69,3,3,6,2,51,12,3,3079.410298,2719.136362,1.132496,15183.565302,109591.55535,130900.571287,477.310699,460.558044,16.770813,0.018158,0.005446
71,71,84,10,56,2,4,5,1,50,10,3,3551.07987,2697.529033,1.31642,17973.73594,85401.514329,131690.527697,478.900848,463.133514,15.767792,0.000458,0.00444
71,71,84,10,56,2,4,5,1,50,10,3,3551.07987,2697.529033,1.31642,17973.73594,85401.514329,131690.527697,478.900848,463.133514,15.767792,0.000458,0.00444
72,72,89,0,0,1,2,1,3,45,2,1,1171.50984,1002.987457,1.16802,1171.50984,7934.062326,118804.696433,478.830566,458.101562,21.698608,0.969604,0.018522
72,72,89,0,0,1,2,1,3,45,2,1,1171.50984,1002.987457,1.16802,1171.50984,7934.062326,118804.696433,478.830566,458.101562,21.698608,0.969604,0.018522
73,73,336,0,0,1,1,1,2,31,2,1,4768.974167,3672.238931,1.298656,4768.974167,283252.884094,79578.690736,478.335938,190.181259,288.155334,0.000656,0.060423
73,73,336,0,0,1,1,1,2,31,2,1,4768.974167,3672.238931,1.298656,4768.974167,283252.884094,79578.690736,478.335938,190.181259,288.155334,0.000656,0.060423
74,74,106,0,0,1,1,1,2,48,2,1,2586.19672,2190.894758,1.180429,2586.19672,11899.984015,126569.369114,475.776337,446.509033,29.364594,0.09729,0.011354
74,74,106,0,0,1,1,1,2,48,2,1,2586.19672,2190.894758,1.180429,2586.19672,11899.984015,126569.369114,475.776337,446.509033,29.364594,0.09729,0.011354
75,75,214,0,0,1,1,1,4,25,2,1,3071.451984,2755.656968,1.114599,3071.451984,12950.919227,60866.233242,474.288605,328.083618,147.776428,1.571442,0.048113
75,75,214,0,0,1,1,1,4,25,2,1,3071.451984,2755.656968,1.114599,3071.451984,12950.919227,60866.233242,474.288605,328.083618,147.776428,1.571442,0.048113
76,76,90,0,0,1,1,1,3,50,2,1,731.862054,661.968354,1.105585,731.862054,3433.357433,127135.683391,474.120697,459.33255,16.218964,1.430817,0.022161
76,76,90,0,0,1,1,1,3,50,2,1,731.862054,661.968354,1.105585,731.862054,3433.357433,127135.683391,474.120697,459.33255,16.218964,1.430817,0.022161
77,77,122,0,0,1,3,1,2,43,2,1,2298.511017,1948.364955,1.179713,2298.511017,14923.276844,121418.386373,473.697662,430.092407,43.605713,0.000458,0.018971
77,77,122,0,0,1,3,1,2,43,2,1,2298.511017,1948.364955,1.179713,2298.511017,14923.276844,121418.386373,473.697662,430.092407,43.605713,0.000458,0.018971
78,78,169,0,0,1,1,1,3,32,2,1,780.122303,667.731543,1.168317,780.122303,4868.046039,76724.021384,471.088501,399.928925,74.752625,3.593048,0.095822
78,78,169,0,0,1,1,1,3,32,2,1,780.122303,667.731543,1.168317,780.122303,4868.046039,76724.021384,471.088501,399.928925,74.752625,3.593048,0.095822
79,79,194,0,0,1,1,1,3,39,2,1,4518.615792,3671.195371,1.23083,4518.615792,9606.026675,116366.255068,470.651337,366.258331,104.393646,0.000641,0.023103
79,79,194,0,0,1,1,1,3,39,2,1,4518.615792,3671.195371,1.23083,4518.615792,9606.026675,116366.255068,470.651337,366.258331,104.393646,0.000641,0.023103
80,80,285,6,32,2,2,3,2,35,6,2,7061.080827,5622.256471,1.255916,15192.62243,56534.176085,96240.664652,469.287354,236.523346,233.513947,0.749939,0.033071
80,80,285,6,32,2,2,3,2,35,6,2,7061.080827,5622.256471,1.255916,15192.62243,56534.176085,96240.664652,469.287354,236.523346,233.513947,0.749939,0.033071
81,81,248,0,0,1,2,1,2,12,2,1,2162.010419,1747.819999,1.236975,2162.010419,14941.343661,27751.109727,467.34021,277.628662,191.910675,2.199127,0.088765
81,81,248,0,0,1,2,1,2,12,2,1,2162.010419,1747.819999,1.236975,2162.010419,14941.343661,27751.109727,467.34021,277.628662,191.910675,2.199127,0.088765
82,82,127,0,0,1,1,1,2,46,2,1,820.102403,765.892737,1.07078,820.102403,3099.826628,120989.349673,463.730286,428.501831,36.683014,1.454559,0.04473
82,82,127,0,0,1,1,1,2,46,2,1,820.102403,765.892737,1.07078,820.102403,3099.826628,120989.349673,463.730286,428.501831,36.683014,1.454559,0.04473
83,83,158,0,0,1,1,1,3,42,2,1,2658.975583,1750.209909,1.519232,2658.975583,10218.952752,120506.292037,463.468719,414.212463,49.28653,0.030273,0.018536
83,83,158,0,0,1,1,1,3,42,2,1,2658.975583,1750.209909,1.519232,2658.975583,10218.952752,120506.292037,463.468719,414.212463,49.28653,0.030273,0.018536
84,84,102,20,71,2,4,6,1,49,12,3,3769.41646,2730.896502,1.380285,21743.1524,113143.774011,128139.447827,463.133057,449.175751,14.066833,0.109528,0.003732
84,84,102,20,71,2,4,6,1,49,12,3,3769.41646,2730.896502,1.380285,21743.1524,113143.774011,128139.447827,463.133057,449.175751,14.066833,0.109528,0.003732
85,85,90,70,68,3,3,7,2,50,14,3,1417.339651,1202.032697,1.179119,16600.904953,101416.873958,127821.160988,460.539886,457.902374,2.638153,0.000641,0.001861
85,85,90,70,68,3,3,7,2,50,14,3,1417.339651,1202.032697,1.179119,16600.904953,101416.873958,127821.160988,460.539886,457.902374,2.638153,0.000641,0.001861
87,87,120,0,0,1,1,1,3,45,2,1,856.652752,609.362199,1.405819,856.652752,99167.999641,119825.021169,460.08252,432.502472,27.580505,0.000458,0.032196
87,87,120,0,0,1,1,1,3,45,2,1,856.652752,609.362199,1.405819,856.652752,99167.999641,119825.021169,460.08252,432.502472,27.580505,0.000458,0.032196
88,88,117,27,42,3,3,6,2,28,12,3,705.467647,634.015407,1.112698,8447.497506,67214.190305,69568.617687,454.544861,435.946655,18.598663,0.000458,0.026364
88,88,117,27,42,3,3,6,2,28,12,3,705.467647,634.015407,1.112698,8447.497506,67214.190305,69568.617687,454.544861,435.946655,18.598663,0.000458,0.026364
